"_time","sum(actionCount)","dc(actionCount)",count,"perc90(auraTime)","perc90(apexTime)","sum(dbcpuperc)","dc(userId)"
"2019-05-12T00:00:00.000+0000",274821,129,117191,10,202,"0.0053",1384
"2019-05-12T01:00:00.000+0000",244770,72,125944,10,201,"0.0099",1365
"2019-05-12T02:00:00.000+0000",250049,84,125597,10,200,"0.0070",1372
"2019-05-12T03:00:00.000+0000",233990,65,115964,9,195,"0.0044",1248
"2019-05-12T04:00:00.000+0000",201753,45,99535,9,193,"0.0033",1056
"2019-05-12T05:00:00.000+0000",199092,45,95679,9,191,"0.0036",978
"2019-05-12T06:00:00.000+0000",182236,45,86177,9,188,"0.0022",905
"2019-05-12T07:00:00.000+0000",179091,35,80713,9,188,"0.0022",884
"2019-05-12T08:00:00.000+0000",169313,36,74430,9,186,"0.0020",874
"2019-05-12T09:00:00.000+0000",162541,31,70810,9,186,"0.0026",848
"2019-05-12T10:00:00.000+0000",154766,30,72115,9,187,"0.0021",868
"2019-05-12T11:00:00.000+0000",165790,27,79230,9,191,"0.0023",1002
"2019-05-12T12:00:00.000+0000",187142,37,91374,10,198,"0.0031",1155
"2019-05-12T13:00:00.000+0000",219640,40,112525,10,205,"0.0029",1312
"2019-05-12T14:00:00.000+0000",240486,44,127543,10,211,"0.0071",1555
"2019-05-12T15:00:00.000+0000",248794,52,131289,10,211,"0.0053",1637
"2019-05-12T16:00:00.000+0000",246270,52,127639,10,212,"0.0058",1640
"2019-05-12T17:00:00.000+0000",239765,65,124059,9,210,"0.0032",1625
"2019-05-12T18:00:00.000+0000",237028,51,122672,10,208,"0.0053",1674
"2019-05-12T19:00:00.000+0000",236038,63,122208,10,208,"0.0036",1724
"2019-05-12T20:00:00.000+0000",233113,58,119648,9,207,"0.0037",1654
"2019-05-12T21:00:00.000+0000",227376,52,116597,10,211,"0.0040",1530
"2019-05-12T22:00:00.000+0000",209888,51,107021,9,206,"0.0036",1396
"2019-05-12T23:00:00.000+0000",202605,46,103003,9,204,"0.0024",1293
"2019-05-13T00:00:00.000+0000",210387,56,105603,10,204,"0.0026",1315
"2019-05-13T01:00:00.000+0000",218065,62,106602,10,203,"0.0028",1245
"2019-05-13T02:00:00.000+0000",209317,58,102257,10,203,"0.0032",1237
"2019-05-13T03:00:00.000+0000",193236,45,93499,9,196,"0.0033",1188
"2019-05-13T04:00:00.000+0000",179317,43,87390,9,191,"0.0069",1007
"2019-05-13T05:00:00.000+0000",169894,37,78295,9,189,"0.0032",919
"2019-05-13T06:00:00.000+0000",167280,35,78769,9,189,"0.0044",919
"2019-05-13T07:00:00.000+0000",170585,33,78470,9,188,"0.0030",894
"2019-05-13T08:00:00.000+0000",166736,27,75750,9,188,"0.0027",912
"2019-05-13T09:00:00.000+0000",161870,28,72641,9,187,"0.0014",887
"2019-05-13T10:00:00.000+0000",160959,31,73765,9,188,"0.0061",911
"2019-05-13T11:00:00.000+0000",181931,30,87676,9,197,"0.0054",1141
"2019-05-13T12:00:00.000+0000",204773,34,101854,10,206,"0.0042",1350
"2019-05-13T13:00:00.000+0000",229742,37,119343,11,218,"0.0036",1556
"2019-05-13T14:00:00.000+0000",247433,45,130725,12,238,"0.0127",1753
"2019-05-13T15:00:00.000+0000",245485,48,129525,12,231,"0.0043",1809
"2019-05-13T16:00:00.000+0000",256035,48,133008,11,229,"0.0262",1791
"2019-05-13T17:00:00.000+0000",259015,69,134491,12,230,"0.0073",1773
"2019-05-13T18:00:00.000+0000",254805,64,132200,12,236,"0.0062",1787
"2019-05-13T19:00:00.000+0000",251637,54,133890,12,232,"0.0048",1871
"2019-05-13T20:00:00.000+0000",241488,58,124793,12,231,"0.0063",1732
"2019-05-13T21:00:00.000+0000",230190,55,120762,11,226,"0.0077",1618
"2019-05-13T22:00:00.000+0000",219670,53,115234,11,217,"0.0050",1478
"2019-05-13T23:00:00.000+0000",212706,61,108088,10,214,"0.0038",1388
"2019-05-14T00:00:00.000+0000",219490,65,112009,11,211,"0.0050",1377
"2019-05-14T01:00:00.000+0000",236491,69,120119,11,212,"0.0056",1410
"2019-05-14T02:00:00.000+0000",224251,66,112458,10,205,"0.0043",1352
"2019-05-14T03:00:00.000+0000",201057,56,99634,10,197,"0.0036",1225
"2019-05-14T04:00:00.000+0000",171169,51,83492,9,116,"0.0037",999
"2019-05-14T05:00:00.000+0000",151382,36,72520,9,86,"0.0067",895
"2019-05-14T06:00:00.000+0000",161045,38,76649,9,86,"0.0170",876
"2019-05-14T07:00:00.000+0000",158720,29,75956,9,86,"0.0034",853
"2019-05-14T08:00:00.000+0000",148232,31,68591,9,86,"0.0018",853
"2019-05-14T09:00:00.000+0000",144825,26,66768,9,86,"0.0024",821
"2019-05-14T10:00:00.000+0000",158808,37,75133,9,87,"0.0021",967
"2019-05-14T11:00:00.000+0000",188703,31,93741,9,89,"0.0070",1216
"2019-05-14T12:00:00.000+0000",217912,42,111749,10,91,"0.0054",1421
"2019-05-14T13:00:00.000+0000",240303,41,125527,9,93,"0.0028",1676
"2019-05-14T14:00:00.000+0000",252928,51,133977,10,96,"0.0203",1807
"2019-05-14T15:00:00.000+0000",259832,55,134114,10,97,"0.0029",1806
"2019-05-14T16:00:00.000+0000",258128,54,130113,10,97,"0.0053",1834
"2019-05-14T17:00:00.000+0000",250906,58,128095,10,96,"0.0030",1851
"2019-05-14T18:00:00.000+0000",266813,59,131666,10,98,"0.0110",1863
"2019-05-14T19:00:00.000+0000",247482,47,128042,10,98,"0.0030",1951
"2019-05-14T20:00:00.000+0000",247361,48,128334,10,97,"0.0045",1790
"2019-05-14T21:00:00.000+0000",237167,44,121607,10,95,"0.0244",1641
"2019-05-14T22:00:00.000+0000",226742,55,115381,9,92,"0.0125",1556
"2019-05-14T23:00:00.000+0000",216308,50,107730,9,90,"0.0113",1448
"2019-05-15T00:00:00.000+0000",217679,49,110521,9,90,"0.0064",1421
"2019-05-15T01:00:00.000+0000",235923,67,116945,9,91,"0.0232",1397
"2019-05-15T02:00:00.000+0000",235067,60,114245,9,90,"0.0042",1342
"2019-05-15T03:00:00.000+0000",216091,53,103802,9,93,"0.0072",1244
"2019-05-15T04:00:00.000+0000",192968,47,94657,9,86,"0.0018",1043
"2019-05-15T05:00:00.000+0000",183862,31,87115,9,86,"0.0020",943
"2019-05-15T06:00:00.000+0000",184558,33,84868,9,86,"0.0019",892
"2019-05-15T07:00:00.000+0000",176282,29,84502,9,86,"0.0015",911
"2019-05-15T08:00:00.000+0000",163822,33,75636,9,86,"0.0018",879
"2019-05-15T09:00:00.000+0000",161429,24,73858,9,85,"0.0013",863
"2019-05-15T10:00:00.000+0000",166660,31,78130,9,86,"0.0033",964
"2019-05-15T11:00:00.000+0000",193182,32,95637,9,88,"0.0055",1238
"2019-05-15T12:00:00.000+0000",214548,37,108961,10,90,"0.0052",1467
"2019-05-15T13:00:00.000+0000",236691,44,120812,9,93,"0.0232",1705
"2019-05-15T14:00:00.000+0000",266752,49,137881,10,95,"0.0059",1864
"2019-05-15T15:00:00.000+0000",268456,53,137988,10,97,"0.0169",1862
"2019-05-15T16:00:00.000+0000",267642,61,137540,10,96,"0.0029",1924
"2019-05-15T17:00:00.000+0000",268251,50,136894,10,96,"0.0050",1924
"2019-05-15T18:00:00.000+0000",256229,53,128544,10,97,"0.0113",1903
"2019-05-15T19:00:00.000+0000",259696,54,128366,10,97,"0.0049",1903
"2019-05-15T20:00:00.000+0000",246186,55,126858,10,96,"0.0030",1814
"2019-05-15T21:00:00.000+0000",243580,53,126189,10,95,"0.0077",1695
"2019-05-15T22:00:00.000+0000",229569,55,117176,9,92,"0.0058",1611
"2019-05-15T23:00:00.000+0000",222757,58,110682,9,90,"0.0040",1456
"2019-05-16T00:00:00.000+0000",220469,64,110192,9,90,"0.0025",1442
"2019-05-16T01:00:00.000+0000",241531,68,116836,9,90,"0.0025",1408
"2019-05-16T02:00:00.000+0000",233246,69,114688,9,90,"0.0046",1376
"2019-05-16T03:00:00.000+0000",217131,52,106889,9,90,"0.0046",1287
"2019-05-16T04:00:00.000+0000",238484,46,129772,17,92,"0.0029",1039
"2019-05-16T05:00:00.000+0000",176709,34,85397,9,86,"0.0019",976
"2019-05-16T06:00:00.000+0000",182313,35,86683,9,86,"0.0016",966
"2019-05-16T07:00:00.000+0000",171626,25,80632,9,86,"0.0017",958
"2019-05-16T08:00:00.000+0000",165199,26,76084,9,87,"0.0022",916
"2019-05-16T09:00:00.000+0000",162915,28,76024,9,85,"0.0006",889
"2019-05-16T10:00:00.000+0000",170090,26,79854,9,86,"0.0062",1011
"2019-05-16T11:00:00.000+0000",192053,31,94419,9,89,"0.0049",1255
"2019-05-16T12:00:00.000+0000",221884,33,111457,10,92,"0.0084",1479
"2019-05-16T13:00:00.000+0000",241292,37,124548,10,93,"0.0057",1717
"2019-05-16T14:00:00.000+0000",265664,47,138232,10,95,"0.0127",1867
"2019-05-16T15:00:00.000+0000",274236,40,144049,10,96,"0.0064",1940
"2019-05-16T16:00:00.000+0000",273740,48,144148,10,98,"0.0056",1915
"2019-05-16T17:00:00.000+0000",271210,55,141111,10,99,"0.0050",1986
"2019-05-16T18:00:00.000+0000",268696,58,138603,10,100,"0.0067",1948
"2019-05-16T19:00:00.000+0000",261685,55,138346,10,99,"0.0065",2021
"2019-05-16T20:00:00.000+0000",263989,57,139270,10,99,"0.0072",1920
"2019-05-16T21:00:00.000+0000",249355,46,130059,9,97,"0.0137",1792
"2019-05-16T22:00:00.000+0000",255772,56,133186,9,95,"0.0078",1636
"2019-05-16T23:00:00.000+0000",249793,52,126710,9,94,"0.0128",1569
"2019-05-17T00:00:00.000+0000",239662,57,120495,9,93,"0.0041",1480
"2019-05-17T01:00:00.000+0000",258742,59,127400,9,94,"0.0117",1444
"2019-05-17T02:00:00.000+0000",264990,76,132187,9,93,"0.0045",1428
"2019-05-17T03:00:00.000+0000",223194,52,110627,9,92,"0.0034",1313
"2019-05-17T04:00:00.000+0000",209231,48,103165,9,92,"0.0022",1118
"2019-05-17T05:00:00.000+0000",189511,44,90526,9,91,"0.0025",998
"2019-05-17T06:00:00.000+0000",176084,30,82267,9,90,"0.0010",977
"2019-05-17T07:00:00.000+0000",178861,31,84523,9,91,"0.0019",967
"2019-05-17T08:00:00.000+0000",168897,31,79050,9,91,"0.0020",944
"2019-05-17T09:00:00.000+0000",169719,29,79212,9,90,"0.0016",939
"2019-05-17T10:00:00.000+0000",179978,32,85071,9,90,"0.0033",1009
"2019-05-17T11:00:00.000+0000",198748,32,97976,10,93,"0.0053",1246
"2019-05-17T12:00:00.000+0000",225826,37,115541,10,96,"0.0044",1478
"2019-05-17T13:00:00.000+0000",255802,40,132862,10,98,"0.0089",1713
"2019-05-17T14:00:00.000+0000",285008,49,151137,10,101,"0.0098",1898
"2019-05-17T15:00:00.000+0000",287927,64,152444,10,101,"0.0076",1978
"2019-05-17T16:00:00.000+0000",293614,56,154478,10,101,"0.0066",2025
"2019-05-17T17:00:00.000+0000",308918,69,161818,10,100,"0.0070",2037
"2019-05-17T18:00:00.000+0000",300415,72,155419,10,101,"0.0093",2075
"2019-05-17T19:00:00.000+0000",310272,62,163189,10,101,"0.0070",2099
"2019-05-17T20:00:00.000+0000",286865,56,152957,10,99,"0.0065",1993
"2019-05-17T21:00:00.000+0000",294904,80,154094,10,99,"0.0072",1858
"2019-05-17T22:00:00.000+0000",293994,147,146330,9,95,"0.0038",1752
"2019-05-17T23:00:00.000+0000",288457,139,141755,9,94,"0.0044",1645
"2019-05-18T00:00:00.000+0000",269650,75,134478,9,93,"0.0058",1567
"2019-05-18T01:00:00.000+0000",273555,71,139383,9,93,"0.0053",1519
"2019-05-18T02:00:00.000+0000",276484,69,140588,9,93,"0.0058",1484
"2019-05-18T03:00:00.000+0000",234574,69,120737,9,92,"0.0035",1389
"2019-05-18T04:00:00.000+0000",214963,84,107578,9,91,"0.0025",1081
"2019-05-18T05:00:00.000+0000",207848,52,102363,9,91,"0.0024",987
"2019-05-18T06:00:00.000+0000",200224,50,95927,9,92,"0.0044",951
"2019-05-18T07:00:00.000+0000",196415,38,95878,9,91,"0.0021",950
"2019-05-18T08:00:00.000+0000",178989,33,84407,9,91,"0.0015",892
"2019-05-18T09:00:00.000+0000",178249,31,81491,9,89,"0.0031",853
"2019-05-18T10:00:00.000+0000",182537,35,83852,9,89,"0.0039",917
"2019-05-18T11:00:00.000+0000",195298,38,95260,9,90,"0.0021",1170
"2019-05-18T12:00:00.000+0000",217793,33,110270,10,93,"0.0033",1332
"2019-05-18T13:00:00.000+0000",250470,43,128728,9,93,"0.0064",1586
"2019-05-18T14:00:00.000+0000",303997,83,150732,9,94,"0.0147",1827
"2019-05-18T15:00:00.000+0000",301702,63,157889,9,94,"0.0133",1904
"2019-05-18T16:00:00.000+0000",306015,70,158933,9,93,"0.0071",1936
"2019-05-18T17:00:00.000+0000",294965,70,147105,9,93,"0.0052",1920
"2019-05-18T18:00:00.000+0000",307921,73,157044,9,94,"0.0119",1958
"2019-05-18T19:00:00.000+0000",307041,67,160570,9,94,"0.0053",2011
"2019-05-18T20:00:00.000+0000",305955,80,155784,9,92,"0.0076",1937
"2019-05-18T21:00:00.000+0000",292921,61,152545,9,93,"0.0068",1815
"2019-05-18T22:00:00.000+0000",291175,71,147579,9,92,"0.0034",1665
"2019-05-18T23:00:00.000+0000",283474,77,142881,9,91,"0.0091",1633
