"_time","marks.actions{}.context.cmp",count,"dc(marks.actions{}.context.cmp)"
"2019-05-21T22:00:00.000+0000","c:SystemNotifications",30,4
"2019-05-21T22:00:00.000+0000","flexipage:page",14,8
"2019-05-21T22:00:00.000+0000","flexipage:visualforcePage",1,4
"2019-05-21T22:00:00.000+0000","force:detailPanel",6,7
"2019-05-21T22:00:00.000+0000","force:filterList",13,5
"2019-05-21T22:00:00.000+0000","force:fingerprint",2,2
"2019-05-21T22:00:00.000+0000","force:hostConfig",2,2
"2019-05-21T22:00:00.000+0000","force:listViewDataManager",28,10
"2019-05-21T22:00:00.000+0000","force:listViewManager",13,5
"2019-05-21T22:00:00.000+0000","force:listViewManagerGrid",14,5
"2019-05-21T22:00:00.000+0000","force:listViewPickerDataProvider",1,4
"2019-05-21T22:00:00.000+0000","force:recordGlobalValueProvider",185,13
"2019-05-21T22:00:00.000+0000","force:recordHome",67,8
"2019-05-21T22:00:00.000+0000","force:recordLayoutBroker",78,10
"2019-05-21T22:00:00.000+0000","force:recordLayoutTemplate",6,5
"2019-05-21T22:00:00.000+0000","force:relatedCardContainer",10,7
"2019-05-21T22:00:00.000+0000","force:socialPhotoController",2,5
"2019-05-21T22:00:00.000+0000","forceChatter:feed",1,5
"2019-05-21T22:00:00.000+0000","forceChatter:feedInner",1,2
"2019-05-21T22:00:00.000+0000","forceChatter:messageBodyInput",2,3
"2019-05-21T22:00:00.000+0000","forceChatter:publisherAttachments",1,3
"2019-05-21T22:00:00.000+0000","forceChatter:recordFeedActions",16,7
"2019-05-21T22:00:00.000+0000","forceChatter:topicAutocompleteInput",2,3
"2019-05-21T22:00:00.000+0000","forceSearch:mru",66,4
"2019-05-21T22:00:00.000+0000","forceSearch:scopesRibbonDataProvider",23,4
"2019-05-21T22:00:00.000+0000","forceSearch:searchScopeHeader",23,4
"2019-05-21T22:00:00.000+0000","laf:platformPageResolver",3,5
"2019-05-21T22:00:00.000+0000",none,8,1
"2019-05-21T22:00:00.000+0000","one:actionBar",197,12
"2019-05-21T22:00:00.000+0000","one:actionsManager",11,4
"2019-05-21T22:00:00.000+0000","one:consolePersistenceManager",2,2
"2019-05-21T22:00:00.000+0000","one:workspaceTabWrapper",59,11
"2019-05-21T22:00:00.000+0000","runtime_sales_pathassistant:pathAssistant",4,5
"2019-05-21T22:00:00.000+0000","support:compactRecordFeedContainerDesktop",4,5
